method,noise_percent,seed,alpha_mode,alpha,beta,coefficient,e_alpha,e_beta,e_coefficient,branch_recovered,selected_equation,runtime_seconds
Weak-Pareto,0.0,0,fractional_superunit,1.6514994565142689,1.99913999093173,0.1165671299256646,0.0014994565142689709,0.0008600090682699957,0.02860725061946158,True,D_t^1.65150 u = (0.11657)*D_x^1.99914 u,0.4146075099999962
Strong Pareto,0.0,0,fractional_superunit,1.6670406355545428,1.992528228598545,0.11573567716322927,0.017040635554542938,0.007471771401454941,0.035536023639756026,True,D_t^1.66704 u = (0.11574)*D_x^1.99253 u,0.10651739099989754
Weak-Pareto,0.0,1,fractional_superunit,1.6514987111759143,1.9991399357607706,0.1165671810716706,0.00149871117591438,0.0008600642392293523,0.028606824402744917,True,D_t^1.65150 u = (0.11657)*D_x^1.99914 u,0.43487269399997786
Strong Pareto,0.0,1,fractional_superunit,1.6577277541862179,1.9975795213447318,0.11546453815259985,0.007727754186217961,0.0024204786552681767,0.03779551539500117,True,D_t^1.65773 u = (0.11546)*D_x^1.99758 u,0.1046994949999771
Weak-Pareto,0.5,0,fractional_superunit,1.6449029177634733,1.9187152388983204,0.13158417639595396,0.005097082236526607,0.08128476110167959,0.09653480329961639,True,D_t^1.64490 u = (0.13158)*D_x^1.91872 u,0.40255651400002535
Strong Pareto,0.5,0,integer,1.0,1.7911395314067962,0.10029574849426218,0.6499999999999999,0.20886046859320384,0.1642020958811485,False,partial_t u = (0.1003)*D_x^1.79114 u,0.11044440599994232
Weak-Pareto,0.5,1,fractional_superunit,1.739440590428266,1.975297550203691,0.11289181829669967,0.08944059042826602,0.02470244979630909,0.059234847527502715,True,D_t^1.73944 u = (0.11289)*D_x^1.97530 u,0.40086618800000906
Strong Pareto,0.5,1,integer,1.0,1.7916659473511818,0.10140157658786562,0.6499999999999999,0.2083340526488182,0.15498686176778642,False,partial_t u = (0.1014)*D_x^1.79167 u,0.125416709999854
