soil,n_raw_observations,n_unique_observations,stress_mpa,alpha,eta,E,tau_r,reference_alpha,reference_eta,reference_E,reference_tau_r,relative_integral_residual,c0,c1
clay,56,56,1.11,0.4692742604460601,0.10335887947019778,0.3312171735413459,0.08360648046766038,0.371,0.103,0.32,0.047098973911516344,0.03456197005222285,10.739280511647328,-3.2045352585004383
silt,43,42,1.14,0.5624853484473751,0.0744295247356625,0.4302099657949412,0.044199078333899196,0.562,0.0778,0.442,0.045454335805564475,0.041114389634138784,15.316502477326383,-5.780098251639224
