benchmark,noise_percent,seed,arm,alpha,alpha_mode,best_beta,validation_error,true_alpha,target_noise_l2,initial_slice_effect_l2,target_variance_clean,target_variance_noisy,temporal_adjoint_weight_norm
Frac. RD (space),0.0,0,fully_noisy,0.8422875000000001,fractional_subunit,1.662300364942929,0.005303639497555159,1.0,0.0,0.0,5.471410724666396e-07,5.471410724666396e-07,38.20721700077187
Frac. RD (space),0.0,0,clean_initial_slice,0.8422875000000001,fractional_subunit,1.662300364942929,0.005303639497555159,1.0,0.0,0.0,5.471410724666396e-07,5.471410724666396e-07,38.20721700077187
Frac. RD (space),0.0,0,target_only_noise,0.8422875000000001,fractional_subunit,1.662300364942929,0.005303639497555159,1.0,0.0,0.0,5.471410724666396e-07,5.471410724666396e-07,38.20721700077187
Frac. RD (space),0.0,0,library_only_noise,0.8422875000000001,fractional_subunit,1.662300364942929,0.005303639497555159,1.0,0.0,0.0,5.471410724666396e-07,5.471410724666396e-07,38.20721700077187
Frac. RD (space),0.0,0,clean,0.844775,fractional_subunit,1.662219292274434,0.005146342240098233,1.0,0.0,0.0,5.481401041386171e-07,5.481401041386171e-07,38.39067829893103
Frac. RD (space),0.0,0,fully_noisy,0.844775,fractional_subunit,1.662219292274434,0.005146342240098233,1.0,0.0,0.0,5.481401041386171e-07,5.481401041386171e-07,38.39067829893103
Frac. RD (space),0.0,0,clean_initial_slice,0.844775,fractional_subunit,1.662219292274434,0.005146342240098233,1.0,0.0,0.0,5.481401041386171e-07,5.481401041386171e-07,38.39067829893103
Frac. RD (space),0.0,0,target_only_noise,0.844775,fractional_subunit,1.662219292274434,0.005146342240098233,1.0,0.0,0.0,5.481401041386171e-07,5.481401041386171e-07,38.39067829893103
Frac. RD (space),0.0,0,library_only_noise,0.844775,fractional_subunit,1.662219292274434,0.005146342240098233,1.0,0.0,0.0,5.481401041386171e-07,5.481401041386171e-07,38.39067829893103
Frac. RD (space),0.0,0,clean,0.8472625,fractional_subunit,1.6621358817058454,0.004990762703616497,1.0,0.0,0.0,5.491276062559997e-07,5.491276062559997e-07,38.57639477841781
Frac. RD (space),0.0,0,fully_noisy,0.8472625,fractional_subunit,1.6621358817058454,0.004990762703616497,1.0,0.0,0.0,5.491276062559997e-07,5.491276062559997e-07,38.57639477841781
Frac. RD (space),0.0,0,clean_initial_slice,0.8472625,fractional_subunit,1.6621358817058454,0.004990762703616497,1.0,0.0,0.0,5.491276062559997e-07,5.491276062559997e-07,38.57639477841781
Frac. RD (space),0.0,0,target_only_noise,0.8472625,fractional_subunit,1.6621358817058454,0.004990762703616497,1.0,0.0,0.0,5.491276062559997e-07,5.491276062559997e-07,38.57639477841781
Frac. RD (space),0.0,0,library_only_noise,0.8472625,fractional_subunit,1.6621358817058454,0.004990762703616497,1.0,0.0,0.0,5.491276062559997e-07,5.491276062559997e-07,38.57639477841781
Frac. RD (space),0.0,0,clean,0.84975,fractional_subunit,1.6620512785648203,0.004837338582609528,1.0,0.0,0.0,5.501098436122131e-07,5.501098436122131e-07,38.764377298185764
Frac. RD (space),0.0,0,fully_noisy,0.84975,fractional_subunit,1.6620512785648203,0.004837338582609528,1.0,0.0,0.0,5.501098436122131e-07,5.501098436122131e-07,38.764377298185764
Frac. RD (space),0.0,0,clean_initial_slice,0.84975,fractional_subunit,1.6620512785648203,0.004837338582609528,1.0,0.0,0.0,5.501098436122131e-07,5.501098436122131e-07,38.764377298185764
Frac. RD (space),0.0,0,target_only_noise,0.84975,fractional_subunit,1.6620512785648203,0.004837338582609528,1.0,0.0,0.0,5.501098436122131e-07,5.501098436122131e-07,38.764377298185764
Frac. RD (space),0.0,0,library_only_noise,0.84975,fractional_subunit,1.6620512785648203,0.004837338582609528,1.0,0.0,0.0,5.501098436122131e-07,5.501098436122131e-07,38.764377298185764
