benchmark,noise_percent,n_seeds,support_power_recovery,operator_structure_recovery,e_alpha,e_alpha_sd,e_beta_max,e_beta_max_sd,e_xi_max,e_xi_max_sd,e_xi_l2,e_xi_l2_sd,full_data_rel_l2,full_data_rel_l2_sd
Frac. RD (space),2.0,5,5,0,0.18781982939279956,0.013689302647488341,0.1861070464669658,0.1158688446697835,1.5844329167369298,1.356609606900929,0.3663856164823419,0.27090198829208434,0.17896036926865333,0.016757113524984005
Frac. RD (space),5.0,5,5,0,0.19999999999999996,0.0,0.299306698997423,0.1539891634398641,2.0278112819075558,1.7851191001637932,0.480810538177744,0.3851534587541924,0.37472396225328775,0.038124523249327004
Frac. RD (space),10.0,5,3,0,0.19999999999999996,0.0,0.3710067536585617,0.14823501940849781,2.564576642748723,1.9686637913482725,0.6016357342108662,0.4334192697688345,0.6658063900017825,0.08630135519037324
Frac. RD (time-space),2.0,5,5,2,0.0675488486659905,0.025228141905373987,0.10955927828880851,0.11315897113418694,1.418153316759832,1.2125447906576217,0.3750650985662921,0.27448506049394833,0.10187353251183415,0.010972684083961234
Frac. RD (time-space),5.0,5,5,0,0.1513266744798759,0.02669767718116425,0.34373132440490956,0.2142956855145312,2.567353222019998,1.3822390341192543,0.7265583402341746,0.376974644035928,0.2212330223136909,0.019903698492638993
Frac. RD (time-space),10.0,5,5,0,0.16544804001094032,0.010178491966396504,0.537992479020209,0.37693106594182874,2.9983166958259466,2.447713806578435,0.9372279266133127,0.7607649209478776,0.39391800245499736,0.036315876860484674
