noise_percent,true_residual,closest_competing_residual,margin_ratio,true_coefficient_nonlinear,true_coefficient_diffusion,e_xi_max,closest_competing_terms
0.0,0.00153312487470908,0.334653645619857,218.282053301991,-0.9985288,0.24955009,0.0017996553794459482,"u u_x + u_xx"
5.0,0.0225969828435174,0.337068060750435,14.9165073534201,-0.99967823,0.24896367,0.004145330475275061,"u u_x + u_xx"
10.0,0.0449875232157161,0.340784498191298,7.57508913209623,-1.00085016,0.24823062,0.007077525441372968,"u u_x + u_xx"
15.0,0.0673267570484438,0.345740508203341,5.13526157148144,-1.00204267,0.24735199,0.010592059190253899,"u u_x + u_xx"
20.0,0.0896636852922212,0.351879122052269,3.92443296196745,-1.00323595,0.24632677,0.014692910240878003,"u u_x + u_xx"
25.0,0.11205844473234,0.359150307327355,3.20502669999761,-1.00439181,0.24515192,0.01939233108842812,"u u_x + u_xx"
