delta_beta,n_columns,coherence,condition_number
0.5,6,0.7219640091793121,319.535371431544
0.25,12,0.9212074117802883,2593140226.249773
0.1,30,0.9872656208848325,8428486193633092.0
0.05,59,0.9968134919035248,1.2986320335448678e+16
