benchmark,noise_percent,n_seeds,support_power_recovery,operator_structure_recovery,e_alpha,e_alpha_sd,e_beta_max,e_beta_max_sd,e_xi_max,e_xi_max_sd,e_xi_l2,e_xi_l2_sd,full_data_rel_l2,full_data_rel_l2_sd
FADE,10.0,5,5,5,0.0016065784039754672,0.0015222542317153659,0.07197291529393582,0.03007586307658997,0.11943376550222065,0.08883656408375937,0.08289852774563967,0.0523789028049402,0.022341640548224455,0.0010890548562988787
Frac. RD (space),10.0,5,3,0,0.19999999999999996,0.0,0.3710067536585617,0.14823501940849781,2.564576642748723,1.9686637913482725,0.6016357342108662,0.4334192697688345,0.6658063900017825,0.08630135519037324
Frac. RD (time-space),10.0,5,5,0,0.16544804001094032,0.010178491966396504,0.537992479020209,0.37693106594182874,2.9983166958259466,2.447713806578435,0.9372279266133127,0.7607649209478776,0.39391800245499736,0.036315876860484674
Fractional Burgers,10.0,5,5,5,0.0,0.0,0.0027348725162417596,0.0016599637084000348,0.004961709001593965,0.003582629110272645,0.0021462636485306934,0.0017292819144656083,0.05053404157251788,0.006711392676661915
