tests,K,support_power_recovery,operator_structure_recovery,e_alpha_mean,e_alpha_sd,e_beta_mean,e_beta_sd,e_xi_mean,efit_mean,kappa
15x21,315,5/5,5/5,0.0018345990633537256,0.0018099871179286045,0.037850002080001666,0.03214772748813907,0.04718327152272124,0.008607243270678413,1.597391368040617
22x30,660,5/5,5/5,0.0017941335206060228,0.0017371361718683544,0.03553782178603933,0.033159974614017075,0.049803605446970475,0.009937709664887487,1.5954104542088332
31x43,1333,5/5,5/5,0.0017288044161422934,0.0016510300073263704,0.03164452378676459,0.02982654559384233,0.05414586756686392,0.014205703051334253,1.5933428834034766
44x60,2640,5/5,5/5,0.0016065784039754672,0.0015222542317153659,0.07197291529393582,0.03007586307658997,0.11943376550222065,0.022341640548224455,1.5919362024676498
62x85,5270,5/5,1/5,0.0015056223800379298,0.0010627417708087322,0.2242817305713128,0.06557765968304492,0.63168677019617,0.03385112901527222,1.5898227528315205
