benchmark,regime,setting,noise_percent,n_seeds,support_power_recovery,operator_structure_recovery,e_alpha,e_alpha_sd,e_beta_max,e_beta_max_sd,e_xi_max,e_xi_max_sd,e_xi_l2,e_xi_l2_sd,full_data_rel_l2,full_data_rel_l2_sd
ADE,default,default,10.0,5,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0.03056361475776761,0.007599601784247379
ADE,adjusted,$p\in\{0\}$,10.0,5,4,0,0.016238885152174337,0.002956180649498279,0.16660825158448922,0.21005203607247372,0.45631592493124806,0.1857887142230775,0.15082864408165136,0.019740690826643325,0.03712420726318341,0.00354941409560442
Two-term Riesz,default,default,10.0,5,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0.23764137855836473,0.014038005236196605
Two-term Riesz,adjusted,"$p\in\{0\}$, AIC-type",10.0,5,5,0,0.11509374786857698,0.008570530992765248,0.21487021336017192,0.13887942570927247,0.37664528729971947,0.1148352209653291,0.22218217805776802,0.11064742135811868,0.2357977666474127,0.013241572713580015
