method,noise_percent,n_seeds,branch_recovery,operator_recovery,e_alpha_mean,e_alpha_sd,e_beta_mean,e_beta_sd,e_coefficient_relative_mean,e_coefficient_relative_sd
Weak-Pareto,0.0,5,5,5,0.0001497257806850616,9.644721120948854e-07,0.0009098396336902237,2.6546226678077333e-07,0.028113659244584855,4.993114500021558e-07
Weak-Pareto,0.5,5,5,5,0.07393739978064362,0.03807458372292521,0.03728499516058599,0.02769995107120987,0.07259952461117092,0.06383181088314387
Weak-Pareto,1.0,5,5,1,0.17229183041274596,0.06195735072919272,0.0544846021862063,0.048450086319815976,0.12535968239135906,0.1035608192484668
Strong Pareto,0.0,5,5,5,0.009095536681220252,0.0004398783913017486,0.0013443070744802998,0.00020119400165039908,0.038023638973551654,0.00023441291137297349
Strong Pareto,0.5,5,0,0,0.6499999999999999,0.0,0.20251643068877798,0.00635510807323417,0.17675580274249045,0.016135254254365617
Strong Pareto,1.0,5,0,0,0.72,0.15652475842498528,0.5578206175856815,0.5267570904730791,0.6334816246287671,0.6869765027133422
