benchmark,condition,method,n_seeds,support_power_recovery,operator_structure_recovery,e_alpha_mean,e_alpha_sd,e_beta_max_mean,e_beta_max_sd,e_xi_max_mean,e_xi_max_sd,e_xi_l2_mean,e_xi_l2_sd,fit_residual_mean,fit_residual_sd
FADE,additive_gaussian,Strong Pareto,5,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0.8375187552440672,0.0009796582486287383
FADE,additive_gaussian,Weak-Pareto,5,5,4,0.0020156599162286736,0.0020273820918992077,0.13384654854721667,0.032669915897292116,0.24497439884481262,0.12282598105231916,0.17843678389536297,0.0778915639511227,0.029695226272257347,0.002652127608275597
Fractional Burgers,additive_gaussian,Strong Pareto,5,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0.8311393802957108,0.0010681122740639338
Fractional Burgers,additive_gaussian,Weak-Pareto,5,5,4,0.002300122914206959,0.005143231192771677,0.003619115400288431,0.002725773993158346,0.01653996383030571,0.01148942279131696,0.011608705096377313,0.013047792556669184,0.08047529883438265,0.0038350582505538625
