dataset,truth,noise_percent,seed,method,noise_realization_sha256,status,error,selected_equation,selected_alpha,selected_terms,selected_coefficients,val_rel_mse,full_data_rel_l2,runtime_seconds,selected_c_active,support_size_match,support_power_recovered,rhs_operator_structure_recovered,full_operator_structure_recovered,alpha_abs_error_conditioned,mean_beta_abs_error_conditioned,max_beta_abs_error_conditioned,mean_coef_abs_error_conditioned,max_coef_abs_error_conditioned,max_coef_rel_error_conditioned,coef_l2_rel_error_conditioned,matching_json
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,0.0,0,yu2025_full,d8b4c10641de7fd5d2658695c7a80a1c932b3097a085b30f44a451ef9e4e7adb,ok,,D_t^0.786517 u = - 1.09733 u_x + 0.458474 D_x^1.54618 u,0.7865172153319653,"[[0, 1.0], [0, 1.5461815152812075]]","[-1.0973276231419344, 0.45847403815454246]",0.0016393261572903483,nan,229.9993191249996,2,True,True,False,False,0.013482784668034764,0.07690924235939622,0.15381848471879245,0.06942679249369599,0.09732762314193444,0.09732762314193444,0.09464490153684395,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0], ""selected_coefficient"": -1.0973276231419344, ""beta_abs_error"": 0.0, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.09732762314193444, ""coef_rel_error"": 0.09732762314193444}, {""expected"": [0, 1.7], ""selected"": [0, 1.5461815152812075], ""selected_coefficient"": 0.45847403815454246, ""beta_abs_error"": 0.15381848471879245, ""matched"": true, ""operator_hit"": false, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.04152596184545754, ""coef_rel_error"": 0.08305192369091507}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,0.0,0,yu2025_optimizer_only,d8b4c10641de7fd5d2658695c7a80a1c932b3097a085b30f44a451ef9e4e7adb,ok,,D_t^0.782578 u = - 1.12861 u_x + 0.44845 D_x^1.49973 u,0.7825780135653113,"[[0, 1.0], [0, 1.4997279615416166]]","[-1.1286098543788776, 0.44844963985810954]",0.0020410830816377967,nan,18.113169582999944,2,True,True,False,False,0.01742198643468873,0.10013601922919169,0.20027203845838337,0.09008010726038404,0.12860985437887762,0.12860985437887762,0.12392879979767213,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0], ""selected_coefficient"": -1.1286098543788776, ""beta_abs_error"": 0.0, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.12860985437887762, ""coef_rel_error"": 0.12860985437887762}, {""expected"": [0, 1.7], ""selected"": [0, 1.4997279615416166], ""selected_coefficient"": 0.44844963985810954, ""beta_abs_error"": 0.20027203845838337, ""matched"": true, ""operator_hit"": false, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.05155036014189046, ""coef_rel_error"": 0.10310072028378092}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,1.0,0,yu2025_full,8118308e5b06923233ea9c45b3ce9c8a3b6e0696769cb627c2d82b6361b8a20d,ok,,D_t^0.789528 u = - 1.07984 u_x + 0.468164 D_x^1.57269 u,0.7895282629528634,"[[0, 1.0], [0, 1.5726920128926678]]","[-1.0798353401829597, 0.46816402616385133]",0.0013800063829516442,nan,313.63510958300003,2,True,True,True,True,0.010471737047136664,0.06365399355366608,0.12730798710733215,0.055835657009554174,0.07983534018295968,0.07983534018295968,0.07687501946523177,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0], ""selected_coefficient"": -1.0798353401829597, ""beta_abs_error"": 0.0, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.07983534018295968, ""coef_rel_error"": 0.07983534018295968}, {""expected"": [0, 1.7], ""selected"": [0, 1.5726920128926678], ""selected_coefficient"": 0.46816402616385133, ""beta_abs_error"": 0.12730798710733215, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.03183597383614867, ""coef_rel_error"": 0.06367194767229734}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,1.0,0,yu2025_optimizer_only,8118308e5b06923233ea9c45b3ce9c8a3b6e0696769cb627c2d82b6361b8a20d,ok,,D_t^0.997639 u = - 0.465927 u_x,0.9976394502475678,"[[0, 1.0]]",[-0.4659266513049988],0.5576837513613062,nan,10.831643625000197,1,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0], ""selected_coefficient"": -0.4659266513049988, ""beta_abs_error"": 0.0, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.5340733486950012, ""coef_rel_error"": 0.5340733486950012}, {""expected"": [0, 1.7], ""matched"": false}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,5.0,0,yu2025_full,e5021e2cbc7eee07e04efb5d2654766ee9cf3b316bbcbcea8def0f4adb80a519,ok,,D_t^0.796269 u = - 1.04259 u_x + 0.487563 D_x^1.63088 u,0.7962687798025607,"[[0, 1.0], [0, 1.6308829205463253]]","[-1.0425857538212888, 0.48756269194186913]",0.0010966127880715597,nan,333.2592921669998,2,True,True,True,True,0.003731220197439322,0.03455853972683731,0.06911707945367462,0.027511530939709844,0.04258575382128882,0.04258575382128882,0.0396810590610707,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0], ""selected_coefficient"": -1.0425857538212888, ""beta_abs_error"": 0.0, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.04258575382128882, ""coef_rel_error"": 0.04258575382128882}, {""expected"": [0, 1.7], ""selected"": [0, 1.6308829205463253], ""selected_coefficient"": 0.48756269194186913, ""beta_abs_error"": 0.06911707945367462, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.01243730805813087, ""coef_rel_error"": 0.02487461611626174}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,5.0,0,yu2025_optimizer_only,e5021e2cbc7eee07e04efb5d2654766ee9cf3b316bbcbcea8def0f4adb80a519,ok,,D_t^0.999 u = - 0.225651 u_x,0.99899999996186,"[[0, 1.0]]",[-0.22565051484751775],0.9683950950181439,nan,15.568182499999693,1,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0], ""selected_coefficient"": -0.22565051484751775, ""beta_abs_error"": 0.0, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.7743494851524823, ""coef_rel_error"": 0.7743494851524823}, {""expected"": [0, 1.7], ""matched"": false}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,0.0,1,yu2025_full,d8b4c10641de7fd5d2658695c7a80a1c932b3097a085b30f44a451ef9e4e7adb,ok,,D_t^0.78736 u = - 1.09743 u_x + 0.462213 D_x^1.53176 u,0.7873603905256326,"[[0, 1.0], [0, 1.5317611405547256]]","[-1.0974319237265433, 0.4622125569730761]",0.0015054582186898805,nan,350.23700741699986,2,True,True,False,False,0.012639609474367486,0.0841194297226372,0.1682388594452744,0.06760968337673359,0.0974319237265433,0.0974319237265433,0.09347029736367708,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0], ""selected_coefficient"": -1.0974319237265433, ""beta_abs_error"": 0.0, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.0974319237265433, ""coef_rel_error"": 0.0974319237265433}, {""expected"": [0, 1.7], ""selected"": [0, 1.5317611405547256], ""selected_coefficient"": 0.4622125569730761, ""beta_abs_error"": 0.1682388594452744, ""matched"": true, ""operator_hit"": false, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.037787443026923884, ""coef_rel_error"": 0.07557488605384777}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,0.0,1,yu2025_optimizer_only,d8b4c10641de7fd5d2658695c7a80a1c932b3097a085b30f44a451ef9e4e7adb,ok,,D_t^0.782801 u = - 1.12984 u_x + 0.448074 D_x^1.49592 u,0.7828013202993688,"[[0, 1.0], [0, 1.4959176288150822]]","[-1.1298403813159528, 0.4480735673719463]",0.0020255956411368153,nan,25.909183374999884,2,True,True,False,False,0.01719867970063127,0.1020411855924589,0.2040823711849178,0.09088340697200323,0.12984038131595277,0.12984038131595277,0.12507559002698318,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0], ""selected_coefficient"": -1.1298403813159528, ""beta_abs_error"": 0.0, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.12984038131595277, ""coef_rel_error"": 0.12984038131595277}, {""expected"": [0, 1.7], ""selected"": [0, 1.4959176288150822], ""selected_coefficient"": 0.4480735673719463, ""beta_abs_error"": 0.2040823711849178, ""matched"": true, ""operator_hit"": false, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.05192643262805369, ""coef_rel_error"": 0.10385286525610737}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,1.0,1,yu2025_full,e0a003deec28276aa90acf6a65070e680286ba7ce76000f7bacd790641090c97,ok,,D_t^0.788092 u = - 1.09652 u_x + 0.463923 D_x^1.53114 u,0.7880917870449963,"[[0, 1.0], [0, 1.531137410303533]]","[-1.096519016074422, 0.4639228572927509]",0.0015625249565112212,nan,335.48594537500003,2,True,True,False,False,0.011908212955003772,0.08443129484823353,0.16886258969646706,0.06629807939083557,0.09651901607442204,0.09651901607442204,0.09216281545132426,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0], ""selected_coefficient"": -1.096519016074422, ""beta_abs_error"": 0.0, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.09651901607442204, ""coef_rel_error"": 0.09651901607442204}, {""expected"": [0, 1.7], ""selected"": [0, 1.531137410303533], ""selected_coefficient"": 0.4639228572927509, ""beta_abs_error"": 0.16886258969646706, ""matched"": true, ""operator_hit"": false, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.0360771427072491, ""coef_rel_error"": 0.0721542854144982}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,1.0,1,yu2025_optimizer_only,e0a003deec28276aa90acf6a65070e680286ba7ce76000f7bacd790641090c97,ok,,D_t^0.992717 u = - 0.477551 u_x,0.9927165628545961,"[[0, 1.0]]",[-0.47755136117972335],0.5435649165003957,nan,11.790500666999833,1,False,False,False,False,nan,nan,nan,nan,nan,nan,nan,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0], ""selected_coefficient"": -0.47755136117972335, ""beta_abs_error"": 0.0, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.5224486388202767, ""coef_rel_error"": 0.5224486388202767}, {""expected"": [0, 1.7], ""matched"": false}]"
